Token: FLOAT_LITERAL, Tipo: UNDEFINED, Línea: 26, Columna: 33
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 26, Columna: 38
Token: WHILE, Tipo: UNDEFINED, Línea: 28, Columna: 9
Token: OPEN_PAREN, Tipo: UNDEFINED, Línea: 28, Columna: 18
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 28, Columna: 29
Token: GREATER_THAN, Tipo: UNDEFINED, Línea: 28, Columna: 36
Token: FLOAT_LITERAL, Tipo: UNDEFINED, Línea: 28, Columna: 44
Token: OR, Tipo: UNDEFINED, Línea: 28, Columna: 49
Token: OPEN_PAREN, Tipo: UNDEFINED, Línea: 28, Columna: 56
Token: INT_LITERAL, Tipo: UNDEFINED, Línea: 28, Columna: 67
Token: PLUS, Tipo: UNDEFINED, Línea: 28, Columna: 70
Token: INT_LITERAL, Tipo: UNDEFINED, Línea: 28, Columna: 78
Token: CLOSE_PAREN, Tipo: UNDEFINED, Línea: 28, Columna: 81
Token: GREATER_THAN, Tipo: UNDEFINED, Línea: 28, Columna: 94
Token: INT_LITERAL, Tipo: UNDEFINED, Línea: 28, Columna: 102
Token: CLOSE_PAREN, Tipo: UNDEFINED, Línea: 28, Columna: 105
Token: OPEN_BLOCK, Tipo: UNDEFINED, Línea: 29, Columna: 9
Token: INTEGER, Tipo: INTEGER, Línea: 31, Columna: 13
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 31, Columna: 21
Token: ASSIGN, Tipo: UNDEFINED, Línea: 31, Columna: 27
Token: INT_LITERAL, Tipo: UNDEFINED, Línea: 31, Columna: 35
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 31, Columna: 37
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 32, Columna: 13
Token: ASSIGN, Tipo: UNDEFINED, Línea: 32, Columna: 19
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 32, Columna: 27
Token: MINUS, Tipo: UNDEFINED, Línea: 32, Columna: 33
Token: INT_LITERAL, Tipo: UNDEFINED, Línea: 32, Columna: 45
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 32, Columna: 47
Token: RETURN, Tipo: UNDEFINED, Línea: 34, Columna: 13
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 34, Columna: 19
Token: CLOSE_BLOCK, Tipo: UNDEFINED, Línea: 35, Columna: 9
Token: IF, Tipo: UNDEFINED, Línea: 37, Columna: 9
Token: OPEN_PAREN, Tipo: UNDEFINED, Línea: 37, Columna: 14
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 37, Columna: 25
Token: EQUAL, Tipo: UNDEFINED, Línea: 37, Columna: 31
Token: INT_LITERAL, Tipo: UNDEFINED, Línea: 37, Columna: 36
Token: CLOSE_PAREN, Tipo: UNDEFINED, Línea: 37, Columna: 38
Token: OPEN_BLOCK, Tipo: UNDEFINED, Línea: 38, Columna: 9
Token: RETURN, Tipo: UNDEFINED, Línea: 39, Columna: 13
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 39, Columna: 19
Token: CLOSE_BLOCK, Tipo: UNDEFINED, Línea: 40, Columna: 9
Token: ELSE, Tipo: UNDEFINED, Línea: 41, Columna: 9
Token: OPEN_BLOCK, Tipo: UNDEFINED, Línea: 42, Columna: 9
Token: RETURN, Tipo: UNDEFINED, Línea: 43, Columna: 13
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 43, Columna: 19
Token: CLOSE_BLOCK, Tipo: UNDEFINED, Línea: 44, Columna: 9
Token: INTEGER, Tipo: INTEGER, Línea: 46, Columna: 9
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 46, Columna: 17
Token: ASSIGN, Tipo: UNDEFINED, Línea: 46, Columna: 22
Token: INT_LITERAL, Tipo: UNDEFINED, Línea: 46, Columna: 30
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 46, Columna: 32
Token: INTEGER, Tipo: INTEGER, Línea: 47, Columna: 9
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 47, Columna: 17
Token: ASSIGN, Tipo: UNDEFINED, Línea: 47, Columna: 22
Token: INT_LITERAL, Tipo: UNDEFINED, Línea: 47, Columna: 30
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 47, Columna: 32
Token: SWITCH, Tipo: UNDEFINED, Línea: 49, Columna: 9
Token: OPEN_PAREN, Tipo: UNDEFINED, Línea: 49, Columna: 16
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 49, Columna: 27
Token: CLOSE_PAREN, Tipo: UNDEFINED, Línea: 49, Columna: 32
Token: OPEN_BLOCK, Tipo: UNDEFINED, Línea: 50, Columna: 9
Token: CASE, Tipo: UNDEFINED, Línea: 51, Columna: 13
Token: INT_LITERAL, Tipo: UNDEFINED, Línea: 51, Columna: 22
Token: COLON, Tipo: UNDEFINED, Línea: 51, Columna: 24
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 51, Columna: 30
Token: INCREMENT, Tipo: UNDEFINED, Línea: 51, Columna: 35
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 51, Columna: 41
Token: CASE, Tipo: UNDEFINED, Línea: 52, Columna: 13
Token: INT_LITERAL, Tipo: UNDEFINED, Línea: 52, Columna: 22
Token: COLON, Tipo: UNDEFINED, Línea: 52, Columna: 24
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 52, Columna: 30
Token: DECREMENT, Tipo: UNDEFINED, Línea: 52, Columna: 35
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 52, Columna: 42
Token: DEFAULT, Tipo: UNDEFINED, Línea: 53, Columna: 13
Token: COLON, Tipo: UNDEFINED, Línea: 53, Columna: 20
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 53, Columna: 26
Token: LESS_EQUAL, Tipo: UNDEFINED, Línea: 53, Columna: 31
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 53, Columna: 41
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 53, Columna: 46
Token: CLOSE_BLOCK, Tipo: UNDEFINED, Línea: 54, Columna: 9
