Símbolo: INCREMENT, Valor: null, Tipo: Sin tipo, Línea: 22, Columna: 54
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 22, Columna: 60
Símbolo: LESS_THAN, Valor: null, Tipo: Sin tipo, Línea: 22, Columna: 73
Símbolo: INT_LITERAL, Valor: 56, Tipo: Sin tipo, Línea: 22, Columna: 82
Símbolo: AND, Valor: null, Tipo: Sin tipo, Línea: 22, Columna: 85
Símbolo: BOOL_LITERAL, Valor: true, Tipo: Sin tipo, Línea: 22, Columna: 93
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 22, Columna: 98
Símbolo: FOR, Valor: null, Tipo: Sin tipo, Línea: 24, Columna: 5
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 24, Columna: 12
Símbolo: IDENTIFIER, Valor: _i_, Tipo: variable, Línea: 24, Columna: 23
Símbolo: ASSIGN, Valor: null, Tipo: Sin tipo, Línea: 24, Columna: 27
Símbolo: INT_LITERAL, Valor: 10, Tipo: Sin tipo, Línea: 24, Columna: 35
Símbolo: COMMA, Valor: null, Tipo: Sin tipo, Línea: 24, Columna: 38
Símbolo: IDENTIFIER, Valor: _i_, Tipo: variable, Línea: 24, Columna: 40
Símbolo: LESS_THAN, Valor: null, Tipo: Sin tipo, Línea: 24, Columna: 44
Símbolo: INT_LITERAL, Valor: 30, Tipo: Sin tipo, Línea: 24, Columna: 53
Símbolo: MULTIPLY, Valor: null, Tipo: Sin tipo, Línea: 24, Columna: 56
Símbolo: INT_LITERAL, Valor: 2, Tipo: Sin tipo, Línea: 24, Columna: 67
Símbolo: COMMA, Valor: null, Tipo: Sin tipo, Línea: 24, Columna: 69
Símbolo: IDENTIFIER, Valor: _i_, Tipo: variable, Línea: 24, Columna: 71
Símbolo: INCREMENT, Valor: null, Tipo: Sin tipo, Línea: 24, Columna: 75
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 24, Columna: 81
Símbolo: OPEN_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 25, Columna: 5
Símbolo: WHILE, Valor: null, Tipo: Sin tipo, Línea: 26, Columna: 9
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 26, Columna: 18
Símbolo: IDENTIFIER, Valor: _var2_, Tipo: variable, Línea: 26, Columna: 29
Símbolo: GREATER_THAN, Valor: null, Tipo: Sin tipo, Línea: 26, Columna: 36
Símbolo: FLOAT_LITERAL, Valor: 12.2, Tipo: Sin tipo, Línea: 26, Columna: 44
Símbolo: OR, Valor: null, Tipo: Sin tipo, Línea: 26, Columna: 49
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 26, Columna: 56
Símbolo: INT_LITERAL, Valor: 34, Tipo: Sin tipo, Línea: 26, Columna: 67
Símbolo: PLUS, Valor: null, Tipo: Sin tipo, Línea: 26, Columna: 70
Símbolo: INT_LITERAL, Valor: 33, Tipo: Sin tipo, Línea: 26, Columna: 78
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 26, Columna: 81
Símbolo: GREATER_THAN, Valor: null, Tipo: Sin tipo, Línea: 26, Columna: 94
Símbolo: INT_LITERAL, Valor: 12, Tipo: Sin tipo, Línea: 26, Columna: 102
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 26, Columna: 105
Símbolo: OPEN_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 27, Columna: 9
Símbolo: IDENTIFIER, Valor: _var_, Tipo: variable, Línea: 28, Columna: 13
Símbolo: ASSIGN, Valor: null, Tipo: Sin tipo, Línea: 28, Columna: 19
Símbolo: IDENTIFIER, Valor: _var_, Tipo: variable, Línea: 28, Columna: 27
Símbolo: MINUS, Valor: null, Tipo: Sin tipo, Línea: 28, Columna: 33
Símbolo: INT_LITERAL, Valor: 1, Tipo: Sin tipo, Línea: 28, Columna: 45
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 28, Columna: 47
Símbolo: RETURN, Valor: null, Tipo: Sin tipo, Línea: 29, Columna: 13
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 29, Columna: 19
Símbolo: CLOSE_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 30, Columna: 9
Símbolo: IF, Valor: null, Tipo: Sin tipo, Línea: 32, Columna: 9
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 32, Columna: 14
Símbolo: IDENTIFIER, Valor: _var_, Tipo: variable, Línea: 32, Columna: 25
Símbolo: EQUAL, Valor: null, Tipo: Sin tipo, Línea: 32, Columna: 31
Símbolo: INT_LITERAL, Valor: 0, Tipo: Sin tipo, Línea: 32, Columna: 36
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 32, Columna: 38
Símbolo: OPEN_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 33, Columna: 9
Símbolo: RETURN, Valor: null, Tipo: Sin tipo, Línea: 34, Columna: 13
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 34, Columna: 19
Símbolo: CLOSE_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 35, Columna: 9
Símbolo: ELSE, Valor: null, Tipo: Sin tipo, Línea: 36, Columna: 9
Símbolo: OPEN_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 37, Columna: 9
Símbolo: RETURN, Valor: null, Tipo: Sin tipo, Línea: 38, Columna: 13
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 38, Columna: 19
Símbolo: CLOSE_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 39, Columna: 9
Símbolo: SWITCH, Valor: null, Tipo: Sin tipo, Línea: 41, Columna: 9
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 41, Columna: 16
Símbolo: IDENTIFIER, Valor: _ch_, Tipo: variable, Línea: 41, Columna: 27
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 41, Columna: 32
Símbolo: OPEN_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 42, Columna: 9
Símbolo: CASE, Valor: null, Tipo: Sin tipo, Línea: 43, Columna: 13
Símbolo: INT_LITERAL, Valor: 1, Tipo: Sin tipo, Línea: 43, Columna: 22
Símbolo: COLON, Valor: null, Tipo: Sin tipo, Línea: 43, Columna: 24
Símbolo: IDENTIFIER, Valor: _id_, Tipo: variable, Línea: 43, Columna: 30
Símbolo: INCREMENT, Valor: null, Tipo: Sin tipo, Línea: 43, Columna: 35
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 43, Columna: 41
Símbolo: CASE, Valor: null, Tipo: Sin tipo, Línea: 44, Columna: 13
Símbolo: INT_LITERAL, Valor: 2, Tipo: Sin tipo, Línea: 44, Columna: 22
Símbolo: COLON, Valor: null, Tipo: Sin tipo, Línea: 44, Columna: 24
Símbolo: IDENTIFIER, Valor: _id_, Tipo: variable, Línea: 44, Columna: 30
Símbolo: DECREMENT, Valor: null, Tipo: Sin tipo, Línea: 44, Columna: 35
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 44, Columna: 42
Símbolo: DEFAULT, Valor: null, Tipo: Sin tipo, Línea: 45, Columna: 13
Símbolo: COLON, Valor: null, Tipo: Sin tipo, Línea: 45, Columna: 20
Símbolo: IDENTIFIER, Valor: _id_, Tipo: variable, Línea: 45, Columna: 26
Símbolo: ASSIGN, Valor: null, Tipo: Sin tipo, Línea: 45, Columna: 31
Símbolo: IDENTIFIER, Valor: _id_, Tipo: variable, Línea: 45, Columna: 39
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 45, Columna: 44
Símbolo: CLOSE_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 46, Columna: 9
Símbolo: CLOSE_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 47, Columna: 5
Símbolo: RETURN, Valor: null, Tipo: Sin tipo, Línea: 48, Columna: 5
Símbolo: INT_LITERAL, Valor: 1, Tipo: Sin tipo, Línea: 48, Columna: 11
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 48, Columna: 13
Símbolo: CLOSE_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 49, Columna: 1
Símbolo: MAIN, Valor: null, Tipo: main, Línea: 51, Columna: 1
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 51, Columna: 10
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 51, Columna: 21
Símbolo: OPEN_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 51, Columna: 34
Símbolo: READ, Valor: null, Tipo: Sin tipo, Línea: 57, Columna: 1
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 57, Columna: 9
Símbolo: IDENTIFIER, Valor: _s1_, Tipo: variable, Línea: 57, Columna: 20
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 57, Columna: 25
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 57, Columna: 38
Símbolo: PRINT, Valor: null, Tipo: Sin tipo, Línea: 59, Columna: 1
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 59, Columna: 7
Símbolo: IDENTIFIER, Valor: _b1_, Tipo: variable, Línea: 59, Columna: 18
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 59, Columna: 23
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 59, Columna: 36
Símbolo: IDENTIFIER, Valor: _miFunc_, Tipo: variable, Línea: 61, Columna: 1
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 61, Columna: 10
Símbolo: IDENTIFIER, Valor: _miFunc_, Tipo: variable, Línea: 61, Columna: 21
Símbolo: OPEN_PAREN, Valor: null, Tipo: Sin tipo, Línea: 61, Columna: 30
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 61, Columna: 41
Símbolo: COMMA, Valor: null, Tipo: Sin tipo, Línea: 61, Columna: 54
Símbolo: CHAR_LITERAL, Valor: a, Tipo: Sin tipo, Línea: 61, Columna: 55
Símbolo: CLOSE_PAREN, Valor: null, Tipo: Sin tipo, Línea: 61, Columna: 59
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 61, Columna: 72
Símbolo: RETURN, Valor: null, Tipo: Sin tipo, Línea: 62, Columna: 1
Símbolo: IDENTIFIER, Valor: _bl1_, Tipo: variable, Línea: 62, Columna: 7
Símbolo: END_STATEMENT, Valor: null, Tipo: Sin tipo, Línea: 62, Columna: 13
Símbolo: CLOSE_BLOCK, Valor: null, Tipo: Sin tipo, Línea: 64, Columna: 1
